Date,SpotPriceEUR,SpotPriceDKK,HoursAvailable,LogSpotPriceEUR
2022-07-22,324.821249,2418.0162555833335,24,5.78327502794564
2022-07-23,318.13958099999996,2368.3362629999997,24,5.762490220439108
2022-07-24,258.64708429166666,1925.3258475416667,24,5.555464523591347
2022-07-25,263.124999875,1958.6583303333334,24,5.572629203961586
2022-07-26,165.63624883333333,1233.1054229166666,24,5.109794111918475
2022-07-27,233.71166479166666,1739.8333460416668,24,5.4540881538279145
2022-07-28,455.07374704166665,3387.6195779583336,24,6.120459487227434
2022-07-29,437.7004140833333,3258.1770732083332,24,6.081534690240115
2022-07-30,380.7741648333333,2834.287490833334,24,5.942206456165391
2022-07-31,317.756251125,2365.4983368333333,24,5.761284582968104
2022-08-01,376.82958354166664,2805.2621256666666,24,5.931793052204298
2022-08-02,331.84499991666667,2470.320017458333,24,5.804667992178938
2022-08-03,295.16749825,2196.852498375,24,5.687542985885649
2022-08-04,380.1141688333333,2829.2379048333332,24,5.940471651894327
2022-08-05,362.82249958333335,2700.1329396666665,24,5.8939137328101365
2022-08-06,250.55583291666667,1864.4470851666665,24,5.5236817815844255
2022-08-07,214.92500016666668,1599.053751625,24,5.370289130835972
2022-08-08,359.5479164583333,2675.054580708333,24,5.884847454672398
2022-08-09,344.872088,2566.1549885416666,24,5.843173588862803
2022-08-10,335.08000245833335,2493.4137522916667,24,5.814369316622165
2022-08-11,368.14583204166667,2739.4183299166666,24,5.908479142391592
2022-08-12,436.7983334583334,3249.901662166667,24,6.079471609080773
2022-08-13,377.745000875,2810.0675100000003,24,5.934219367114253
2022-08-14,329.9654159583333,2454.2704239166665,24,5.798987848842346
2022-08-15,426.6045812083333,3173.0687459583332,24,6.055857544864571
2022-08-16,490.792917875,3650.012084958333,24,6.1960222829751075
2022-08-17,551.952499375,4104.986256958334,24,6.3134619907175376
2022-08-18,563.7599994999999,4192.784963041667,24,6.334628628131865
2022-08-19,515.0970853333333,3831.86334225,24,6.2443553981073325
2022-08-20,457.9737485416667,3406.0466816666667,24,6.126811864876855
2022-08-21,364.1320854583333,2708.2437540833334,24,5.897516673952848
2022-08-22,563.8137474166666,4193.381256125,24,6.3347239618816165
2022-08-23,605.1279258333333,4500.711273166667,24,6.405439883337338
2022-08-24,624.3416646666666,4643.759582458333,24,6.436697758054269
2022-08-25,599.8304124583334,4462.072916666667,24,6.396646969361488
2022-08-26,699.441668125,5202.216674833334,24,6.550282399813461
2022-08-27,607.8391697916667,4521.229166541667,24,6.40991032360472
2022-08-28,401.00167245833336,2982.530018791667,24,5.993965598016907
2022-08-29,658.4104105416667,4897.0596007916665,24,6.489828461117663
2022-08-30,660.236251875,4911.160380083334,24,6.492597728355374
2022-08-31,604.4908346666666,4496.221252416667,24,6.404386508098163
2022-09-01,571.1979179166666,4248.21089675,24,6.347735765914856
2022-09-02,425.4287504166667,3164.1721089999996,24,6.053097484912752
2022-09-03,287.7512491666667,2139.893736583333,24,5.66209638874519
2022-09-04,242.71208425,1804.9104218749999,24,5.491875902387139
2022-09-05,356.06582899999995,2647.85499075,24,5.875115626679092
2022-09-06,411.4024995,3059.2966562916667,24,6.019572052795928
2022-09-07,457.3858362916667,3401.171223916667,24,6.125527315415457
2022-09-08,432.1766687916667,3213.657084125,24,6.068834460180852
2022-09-09,345.70000075,2570.6354217916664,24,5.84557134909709
2022-09-10,404.3179167916667,3006.5124919166665,24,6.002201491251429
2022-09-11,391.4891694166667,2911.1720936666666,24,5.969957850722949
2022-09-12,406.6566657916667,3023.959177666667,24,6.007969256441223
2022-09-13,370.439167625,2754.57498675,24,5.914689241309478
2022-09-14,426.7020835416667,3173.042093875,24,6.056086073101336
2022-09-15,355.7920823333333,2645.7087402083334,24,5.874346521845663
2022-09-16,201.19666658333333,1496.1100170833333,24,5.304282870411069
2022-09-17,68.7666665,511.3658285833333,24,4.230719128985442
2022-09-18,78.44124966666666,583.317086625,24,4.362349932698776
2022-09-19,261.6837489583333,1945.9762420416666,24,5.567136709626792
2022-09-20,363.42499925,2702.8200277083333,24,5.895572946248689
2022-09-21,379.94041833333335,2825.445027708333,24,5.94001444656734
2022-09-22,387.890417625,2884.3674927083334,24,5.960722870931202
2022-09-23,368.33166762499997,2738.9175109583334,24,5.90898380298845
2022-09-24,351.114583375,2610.898346,24,5.861112618555016
2022-09-25,276.50416808333335,2056.080012125,24,5.622225895291207
2022-09-26,245.92499958333335,1828.69417075,24,5.505026609704538
2022-09-27,310.208332,2306.7029215,24,5.737244110471977
2022-09-28,386.19916725,2871.866246583333,24,5.956353213725906
2022-09-29,405.640000625,3016.5545857916663,24,6.005466068284571
2022-09-30,314.104582375,2335.7229157083334,24,5.749725995342991
2022-10-01,82.83500041666666,615.9574997083333,24,4.416850682420581
2022-10-02,114.781667625,853.5304259999999,24,4.743031781456011
2022-10-03,209.3491655,1556.7471059583333,24,5.344003506309608
2022-10-04,217.66791716666668,1618.6124903749999,24,5.38297058561479
2022-10-05,48.90500075,363.66458137499995,24,3.8898796560783113
2022-10-06,21.401666458333334,159.19083195833335,24,3.063468790880683
2022-10-07,27.27958329166667,202.9170825,24,3.3061385576264337
2022-10-08,48.338333500000005,359.52083270833333,24,3.878224900125842
2022-10-09,118.19833366666667,879.1508292083334,24,4.772364007297894
2022-10-10,151.50249904166665,1126.8641611666667,24,5.02060212013791
2022-10-11,241.35166616666666,1795.149154625,24,5.486255065611434
2022-10-12,281.61374920833333,2094.880009916667,24,5.640536448405654
2022-10-13,257.45583475,1915.332072,24,5.550848189859339
2022-10-14,260.6458339166667,1938.7045949583335,24,5.56316252764754
2022-10-15,155.78250120833334,1158.647499125,24,5.048460811392777
2022-10-16,93.58791766666667,696.055000875,24,4.538901290393557
2022-10-17,150.135417625,1116.6254170833333,24,5.0115376709983925
2022-10-18,167.03416695833334,1242.3199995833334,24,5.118198384055421
2022-10-19,168.45374870833334,1253.1220830416667,24,5.126661223735743
2022-10-20,138.44166754166667,1029.8395895,24,4.930449063924784
2022-10-21,163.450002,1215.8054147916666,24,5.0965071454063775
2022-10-22,139.867084125,1040.3733342916667,24,4.940692572537376
2022-10-23,95.75041741666666,712.2516681666666,24,4.561744987494247
2022-10-24,80.056250625,595.5079180416667,24,4.38272952040432
2022-10-25,103.23833325,767.91332875,24,4.637040230299323
2022-10-26,121.07916604166667,900.701672875,24,4.796444596465994
2022-10-27,123.87541679166667,921.459999,24,4.819276357259359
2022-10-28,104.44999966666667,777.0258330833334,24,4.648708484811255
2022-10-29,100.55625020833332,748.3491693750001,24,4.610717274489017
2022-10-30,116.54480044,867.52399664,25,4.758275752217197
2022-10-31,145.22249954166668,1080.9924978333333,24,4.978267045907449
2022-11-01,68.74291691666666,511.72458458333335,24,4.230373704572402
2022-11-02,69.86666741666666,520.1150024166667,24,4.24658867451351
2022-11-03,84.93249958333332,632.1729165,24,4.4418568184589535
2022-11-04,103.680833625,771.6891644583334,24,4.641317272936225
2022-11-05,86.446666375,643.3708381666667,24,4.459527650078679
2022-11-06,35.437916625,263.7166652916667,24,3.567782338032619
2022-11-07,53.440417249999996,397.68458375,24,3.9785673370197654
2022-11-08,52.942916625,393.8716715416667,24,3.9692142883112354
2022-11-09,79.55375049999999,591.71083575,24,4.376432900121212
2022-11-10,66.34000020833334,493.42125508333334,24,4.194793036659294
2022-11-11,1.9829166666666664,14.749583291666667,24,0.6845688247850733
2022-11-12,141.230416375,1050.535005,24,4.950392715281682
2022-11-13,144.619999875,1075.770423875,24,4.974109611882471
2022-11-14,148.78499995833332,1106.751255,24,5.002502310586021
2022-11-15,76.412916375,568.3766715416667,24,4.336151744383021
2022-11-16,26.662083374999998,198.32749883333335,24,3.28324245779634
2022-11-17,46.945417041666666,349.18958358333333,24,3.8489855872937304
